"issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source","country","open_access","stars","last_issue","source_url"
"0794-6961",NA,NA,"Abia State University Medical Students' Association Journal","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/asumsaj"
NA,"2795-3726","0795-1639","Abraka Humanities Review","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/abraka"
NA,NA,NA,"Abyssinia Journal of Science and Technology","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/abjst"
NA,NA,NA,"Academy Journal of Science and Engineering","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajse"
"2415-0487","2415-0487","1023-0564","Acta Structilia","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/actas"
"2309-9089","2309-9089","1015-8758","Acta Theologica","South Africa",TRUE,"missing",2004,"https://www.ajol.info/index.php/actat"
"0850-3907","2521-9863","0850-3907","Africa Development","Senegal",TRUE,"missing",2022,"https://www.ajol.info/index.php/ad"
"1995-641X","1995-641X","0256-2804","Africa Insight","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/ai"
"1560-8646","2731-2992","1560-8646","Africa Sanguine","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/asan"
"1024-0969","1024-0969",NA,"African Anthropologist","Cameroon",TRUE,"missing",2022,"https://www.ajol.info/index.php/aa"
"2072-6589","2072-6589","1021-9730","African Crop Science Journal","Uganda",TRUE,"missing",2022,"https://www.ajol.info/index.php/acsj"
"0850-8518","1010-5522",NA,"African Environment","Senegal",FALSE,"missing",2004,"https://www.ajol.info/index.php/ae"
"1729-0503","1680-6905","1729-0503","African Health Sciences","Uganda",TRUE,"missing",2022,"https://www.ajol.info/index.php/ahs"
NA,"2411-6955","2410-7972","African Human Mobility Review","South Africa",TRUE,"missing",NA,"https://www.ajol.info/index.php/ahmr"
"2411-6939","2411-6939",NA,"African Journal for Physical Activity and Health Sciences","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajpherd"
NA,NA,NA,"African Journal for the Psychological Study of Social Issues","Nigeria",FALSE,"missing",2021,"https://www.ajol.info/index.php/ajpssi"
NA,"2591-6815",NA,"African Journal of Accounting and Social Science Studies","Tanzania",FALSE,"missing",NA,"https://www.ajol.info/index.php/ajasss"
"1608-5906","1727-9445","1608-5906","African Journal of AIDS Research","South Africa",FALSE,"missing",2023,"https://www.ajol.info/index.php/ajar"
"0794-2184",NA,NA,"African Journal of Anaesthesia and Intensive Care","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajaic"
NA,"2408-7920",NA,"African Journal of Applied Research","Ghana",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajapres"
"1119-023X",NA,NA,"African Journal of Applied Zoology and Environmental Biology","Nigeria",TRUE,"missing",2008,"https://www.ajol.info/index.php/ajazeb"
"1727-9364","1608-5914","1727-9364","African Journal of Aquatic Science","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajas"
"1119-5096",NA,NA,"African Journal of Biomedical Research","Nigeria",TRUE,"missing",2021,"https://www.ajol.info/index.php/ajbr"
"1684-5315",NA,NA,"African Journal of Biotechnology","Kenya",TRUE,"missing",2017,"https://www.ajol.info/index.php/ajb"
"2227-5835","2227-5835",NA,"African Journal of Chemical Education","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajce"
"1595-689X","1595-689X",NA,"African Journal of Clinical and Experimental Microbiology","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/ajcem"
"1119-7056",NA,NA,"African Journal of Cross-Cultural Psychology and Sport Facilitation","South Africa",FALSE,"missing",2008,"https://www.ajol.info/index.php/ajcpsf"
NA,"2579-0242",NA,"African Journal of Current Medical Research","Ghana",FALSE,"missing",NA,"https://www.ajol.info/index.php/ajcmr"
"1531-4065","1531-4065",NA,"African Journal of Drug and Alcohol Studies","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajdas"
"1116-4875","1607-2820",NA,"African Journal of Economic Policy","Nigeria",FALSE,"missing",2014,"https://www.ajol.info/index.php/ajep"
"2453-5966","2453-5958",NA,"African Journal of Economic Review","Tanzania",TRUE,"missing",2023,"https://www.ajol.info/index.php/ajer"
"2508-1128","0855-501X","2508-1128","African Journal of Educational Studies in Mathematics and Sciences","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajesms"
NA,"2709-2607",NA,"African Journal of Empirical Research","Kenya",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajempr"
"1116-6495",NA,NA,"African Journal of Endocrinology and Metabolism","Nigeria",TRUE,"missing",2010,"https://www.ajol.info/index.php/ajem"
"1996-0786","1996-0786",NA,"African Journal of Environmental Science and Technology","Nigeria",TRUE,"missing",2017,"https://www.ajol.info/index.php/ajest"
"0856-6372","0856-6372",NA,"African Journal of Finance and Management","Tanzania",FALSE,"missing",2018,"https://www.ajol.info/index.php/ajfm"
"1608-1366",NA,NA,"African Journal of Food and Nutritional Security","Kenya",FALSE,"missing",2001,"https://www.ajol.info/index.php/fns"
"1684-5374","1684-5374","1684-5358","African Journal of Food, Agriculture, Nutrition and Development","Kenya",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajfand"
NA,"2735-5489","2735-5497","African Journal of Gastroenterology and Hepatology","Egypt, Arab Rep.",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajgh"
"2218-5615","2616-9045","2218-5615","African Journal of Governance and Development","Mozambique",FALSE,"missing",2017,"https://www.ajol.info/index.php/ajgd"
NA,"2078-5127",NA,"African Journal of Health Professions Education","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajhpe"
"1022-9272","1022-9272","2306-1987","African Journal of Health Sciences","Kenya",TRUE,"missing",2023,"https://www.ajol.info/index.php/ajhs"
"2006-0165","2006-0165","2505-0419","African Journal of Infectious Diseases","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajid"
"0850-7902","1022-0461",NA,"African Journal of International Affairs","Senegal",TRUE,"missing",2014,"https://www.ajol.info/index.php/ajia"
NA,"1821-889X",NA,"African Journal of International Affairs and Development","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/ajiad"
"0795-4778",NA,NA,"African Journal of Library, Archives and Information Science","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajlais"
"1596-4019","1596-4019",NA,"African Journal of Livestock Extension","Nigeria",FALSE,"missing",2016,"https://www.ajol.info/index.php/ajlex"
"2458-7435","2458-7435","2343-6689","African Journal of Management Research","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajmr"
"1814-2338","1814-2338","1814-232X","African Journal of Marine Science","South Africa",FALSE,"missing",2023,"https://www.ajol.info/index.php/ajms"
"1015-8618","1992-2647","1015-8618","African Journal of Neurological Sciences","Côte d'Ivoire",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajns"
"0189-5710","1608-7232",NA,"African Journal of Oral Health","Nigeria",TRUE,"missing",2020,"https://www.ajol.info/index.php/ajoh"
"1608-7232","1608-7232",NA,"African Journal of Oral Health Sciences","Kenya",FALSE,"missing",2008,"https://www.ajol.info/index.php/ajohs"
"2354-4325",NA,NA,"African Journal of Paediatric Nephrology","Nigeria",FALSE,"missing",2023,"https://www.ajol.info/index.php/ajpn"
"0189-6725","0189-6725",NA,"African Journal of Paediatric Surgery","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/ajps-n"
"2141-8322","2141-8322",NA,"African Journal of Physiotherapy and Rehabilitation Sciences","Nigeria",TRUE,"missing",2018,"https://www.ajol.info/index.php/ajprs"
"1027-0353","1027-0353","1726-3727","African Journal of Political Science","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajps"
"1994-8220","0331-0175","1994-8220","African Journal of Psychiatry","South Africa",TRUE,"missing",2013,"https://www.ajol.info/index.php/ajpsy"
"1727-9380",NA,NA,"African Journal of Range and Forage Science","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajrfs"
"1118-4841","1118-4841","2141-3606","African Journal of Reproductive Health","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/ajrh"
"2307-2482","2664-441X","2307-2482","African Journal of Rheumatology","Kenya",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajr"
"1607-9949","1607-9949","2731-2739","African Journal of Science and Technology","Kenya",TRUE,"missing",2017,"https://www.ajol.info/index.php/ajst"
NA,"2734-3324","2672-5142","African Journal of Social Issues","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajosi"
"2409-5605","2409-5605",NA,"African Journal of Social Work","Zimbabwe",TRUE,"missing",2023,"https://www.ajol.info/index.php/ajsw"
"2315-6317","2971-5253","2315-6317","African Journal of Sustainable Development","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/ajsd"
"0189-6016",NA,NA,"African Journal of Traditional, Complementary and Alternative Medicines","Nigeria",TRUE,"missing",2020,"https://www.ajol.info/index.php/ajtcam"
NA,"2791-0113",NA,"African Journal of Tropical Entomology Research","Congo, Democratic Republic",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajter"
"0002-0036","2226-4647","0002-0036","African Journal of Tropical Hydrobiology and Fisheries","Uganda",FALSE,"missing",2018,"https://www.ajol.info/index.php/ajthf"
"1110-5704","1110-5704",NA,"African Journal of Urology","Egypt, Arab Rep.",TRUE,"missing",2019,"https://www.ajol.info/index.php/aju"
"1562-6997","1562-6997","2309-737X","African Journal on Conflict Resolution","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/ajcr"
"2070-0083","1994-9057","2070-0083","African Research Review","Ethiopia",TRUE,"missing",2020,"https://www.ajol.info/index.php/afrrev"
"2042-1478","2410-4906","2042-1478","African Review of Economics and Finance","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/aref"
"1728-774X",NA,NA,"African Safety Promotion: A Journal of Injury and Violence Prevention","South Africa",TRUE,"missing",2021,"https://www.ajol.info/index.php/asp"
"1027-4332",NA,NA,"African Sociological Review / Revue Africaine de Sociologie","Senegal",TRUE,"missing",2019,"https://www.ajol.info/index.php/asr"
"1119-7196",NA,NA,"African Studies Monographs","Nigeria",FALSE,"missing",2008,"https://www.ajol.info/index.php/astumo"
"2224-073X","1562-7020","2224-073X","African Zoology","South Africa",FALSE,"missing",2023,"https://www.ajol.info/index.php/az"
"2316-090X","2316-090X",NA,"Afrika Statistika","Senegal",TRUE,"missing",2021,"https://www.ajol.info/index.php/afst"
"2141-162X","2141-162X",NA,"Afrimedic Journal","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/afrij"
"1813-548X",NA,NA,"Afrique Science: Revue Internationale des Sciences et Technologie","Côte d'Ivoire",TRUE,"missing",2015,"https://www.ajol.info/index.php/afsci"
"2227-5452",NA,NA,"AFRREV IJAH: An International Journal of Arts and Humanities","Ethiopia",TRUE,"missing",2020,"https://www.ajol.info/index.php/ijah"
"2227-5460",NA,NA,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies","Ethiopia",TRUE,"missing",2020,"https://www.ajol.info/index.php/laligens"
"2227-5444",NA,NA,"AFRREV STECH: An International Journal of Science and Technology","Ethiopia",TRUE,"missing",2019,"https://www.ajol.info/index.php/stech"
"2821-9023","0855-5591",NA,"Agricultural and Food Science Journal of Ghana","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/afsjg"
"1119-7455",NA,NA,"Agro-Science","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/as"
"1015-2288","1015-2288","2948-0086","Agronomie Africaine","Côte d'Ivoire",TRUE,"missing",2023,"https://www.ajol.info/index.php/aga"
"1117-9996","1117-9996","2467-8694","Agrosearch","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/agrosh"
"2090-2948","2090-5076","2090-5068","Alexandria Journal of Medicine","Egypt, Arab Rep.",TRUE,"missing",2022,"https://www.ajol.info/index.php/bafm"
NA,"2716-9375","2773-2916","Algerian Journal of Biosciences","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/aljb"
NA,"2716-9227","2716-9278","Algerian Journal of Engineering and Technology","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajet"
NA,"2707-7179",NA,"AlQalam Journal of Medical and Applied Sciences","Libya",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajmas"
"2305-9478","2226-6054","2305-9478","Anatomy Journal of Africa","Kenya",TRUE,"missing",2022,"https://www.ajol.info/index.php/aja"
NA,"2736-0067","2736-0059","Anchor University Journal of Science and Technology","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/aujst"
"0794-4721",NA,NA,"Animal Production Research Advances","Nigeria",FALSE,"missing",2013,"https://www.ajol.info/index.php/apra"
"1597-3115",NA,NA,"Animal Research International","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/ari"
"0254-4296","2731-2860","0254-4296","Annales Aequatoria","Congo, Republic",FALSE,"missing",2011,"https://www.ajol.info/index.php/aq"
NA,NA,NA,"Annales Africaines de Medecine","Congo, Democratic Republic",TRUE,"missing",NA,"https://www.ajol.info/index.php/aamed"
"1659-5009",NA,NA,"Annales des Sciences Agronomiques","Benin",FALSE,"missing",2018,"https://www.ajol.info/index.php/asab"
"1596-3519",NA,NA,"Annals of African Medicine","Nigeria",TRUE,"missing",2014,"https://www.ajol.info/index.php/aam"
"2523-0816","1999-9674","2523-0816","Annals of African Surgery","Kenya",TRUE,"missing",2023,"https://www.ajol.info/index.php/aas"
"1596-6569",NA,NA,"Annals of Biomedical Sciences","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/abs"
NA,"2536-6149","2476-8642","Annals of Health Research","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ahr"
"2141-4343",NA,NA,"Annals of Humanities and Development Studies","Nigeria",FALSE,"missing",2020,"https://www.ajol.info/index.php/ahds"
"1597-1627","1597-1627",NA,"Annals of Ibadan Postgraduate Medicine","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/aipm"
"2141-9248","2141-9248",NA,"Annals of Medical and Health Sciences Research","Nigeria",TRUE,"missing",2017,"https://www.ajol.info/index.php/amhsr"
"2141-1263","2141-1263",NA,"Annals of Modern Education","Nigeria",FALSE,"missing",2016,"https://www.ajol.info/index.php/ame"
"0331-3131","0331-3131",NA,"Annals of Nigerian Medicine","Nigeria",FALSE,"missing",2018,"https://www.ajol.info/index.php/anmed"
"1687-4137","2090-5394","1687-4137","Annals of Pediatric Surgery","Egypt, Arab Rep.",TRUE,"missing",2019,"https://www.ajol.info/index.php/aps"
"1858-554X",NA,NA,"Arab Journal of Nephrology and Transplantation","Sudan",TRUE,"missing",2015,"https://www.ajol.info/index.php/ajnt"
NA,NA,NA,"Arumaruka: Journal of Conversational Thinking","Nigeria",NA,NA,NA,"https://www.ajol.info/index.php/ajct"
"1467-6958","1467-6958",NA,"Archives of Ibadan Medicine","Nigeria",FALSE,"missing",2008,"https://www.ajol.info/index.php/aim"
"1694-2078","1694-2078","1694-2086","Archives of Medical and Biomedical Research","Mauritius",TRUE,"missing",2018,"https://www.ajol.info/index.php/ambr"
"1596-6305",NA,NA,"ATBU Journal of Environmental Technology","Nigeria",TRUE,"missing",2021,"https://www.ajol.info/index.php/atbu"
NA,"2756-4657","2465-6666","Babcock University Medical Journal","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bumj"
NA,NA,NA,"Bahir Dar University Journal of Law","Ethiopia",FALSE,"missing",NA,"https://www.ajol.info/index.php/bdujl"
NA,"2630-6638","2630-6980","Bakolori Journal of General Studies","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bajoges"
NA,"2437-0665",NA,"Batna Journal of Medical Sciences","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bjms"
NA,"2635-3792",NA,"Bayero Journal of Medical Laboratory Science","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bjmls"
NA,"2659-1464",NA,"Bayero Journal of Nursing and Health Care","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bjnhc"
"2006-6996","2006-6996",NA,"Bayero Journal of Pure and Applied Sciences","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/bajopas"
"0795-0268","2251-0842",NA,"Benin Journal of Postgraduate Medicine","Nigeria",TRUE,"missing",2011,"https://www.ajol.info/index.php/bjpm"
"2705-3822",NA,NA,"Bio-Research","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/br"
"0795-8080",NA,NA,"Biokemistri","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/biokem"
NA,"2706-8587",NA,"BNR Economic Review","Rwanda",TRUE,"missing",NA,"https://www.ajol.info/index.php/BNRER"
NA,"0189-9422","2437-1734","Borno Medical Journal","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bomj"
"1810-0163","2948-0248","1810-0163","Botswana Journal of Economics","Botswana",TRUE,"missing",2017,"https://www.ajol.info/index.php/boje"
"1019-1593","1019-1593",NA,"Botswana Journal of Technology","Botswana",FALSE,"missing",2014,"https://www.ajol.info/index.php/bjt"
"1597-2836",NA,NA,"Bowen Journal of Agriculture","Nigeria",FALSE,"missing",2017,"https://www.ajol.info/index.php/bja"
"0378-9721","0378-9721",NA,"Bulletin of Animal Health and Production in Africa","Kenya",FALSE,"missing",2018,"https://www.ajol.info/index.php/bahpa"
"1726-801X","1011-3924","1726-801X","Bulletin of the Chemical Society of Ethiopia","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/bcse"
NA,"2705-3121","2705-313X","Caliphate Journal of Science and Technology","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/cajost"
"1813-3320","1813-3320",NA,"Cameroon Journal of Agricultural Science","Cameroon",FALSE,"missing",2009,"https://www.ajol.info/index.php/cjas"
"1816-0573","1816-0573",NA,"Cameroon Journal of Experimental Biology","Cameroon",FALSE,"missing",2023,"https://www.ajol.info/index.php/cajeb"
"0008-9176","0008-9176",NA,"Central African Journal of Medicine","Zimbabwe",FALSE,"missing",2023,"https://www.ajol.info/index.php/cajm"
"2384-6028",NA,NA,"ChemSearch Journal","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/csj"
"2090-7214","2090-7214","1812-5840","Clinics in Mother and Child Health","Cameroon",TRUE,"missing",2012,"https://www.ajol.info/index.php/cmch"
"1115-2664",NA,NA,"Communicate: Journal of Library and Information Science","Nigeria",FALSE,"missing",2013,"https://www.ajol.info/index.php/cjlis"
"2343-6530",NA,NA,"Contemporary Journal of African Studies","Ghana",FALSE,"missing",2022,"https://www.ajol.info/index.php/contjas"
"2078-5143","0256-2170","2078-5143","Continuing Medical Education","South Africa",TRUE,"missing",2014,"https://www.ajol.info/index.php/cme"
"0189-0263",NA,NA,"Counsellor (The)","Nigeria",FALSE,"missing",2014,"https://www.ajol.info/index.php/coun"
NA,NA,NA,"Cradle of Knowledge: African Journal of Educational and Social Science Research (The)","Kenya",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajessr"
"2006-6910",NA,NA,"Creative Artist: A Journal of Theatre and Media Studies","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/cajtms"
"0256-004","0256-0046","1992-6049","Critical Arts","South Africa",FALSE,"missing",2004,"https://www.ajol.info/index.php/ca"
"2310-7103","2310-7103",NA,"Critical Studies in Teaching and Learning","South Africa",TRUE,"missing",2023,"https://www.ajol.info/index.php/cristal"
"2159-9130",NA,NA,"Current Writing: Text and Reception in Southern Africa","South Africa",FALSE,"missing",2010,"https://www.ajol.info/index.php/cw"
"0856-7212","0856-7212",NA,"Dar Es Salaam Medical Students' Journal","Tanzania",TRUE,"missing",2013,"https://www.ajol.info/index.php/dmsj"
"1465-0142",NA,NA,"Democracy & Development: Journal of West African Affairs","Nigeria",FALSE,"missing",2005,"https://www.ajol.info/index.php/dad"
NA,NA,NA,"Dirasat Hispanicas: Revista Tunecina de Estudios Hispánicos","Tunisia",TRUE,"missing",NA,"https://www.ajol.info/index.php/dirhisp"
"1015-079X","1015-079X",NA,"Discovery and Innovation","Kenya",FALSE,"missing",2009,"https://www.ajol.info/index.php/dai"
NA,"2635-3490","2476-8316","Dutse Journal of Pure and Applied Sciences","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/dujopas"
NA,"2664-0996","2664-1003","East Africa Science","Burundi",TRUE,"missing",NA,"https://www.ajol.info/index.php/easci"
"0012-8325","0012-8325","2313-450X","East African Agricultural and Forestry Journal","Kenya",FALSE,"missing",2009,"https://www.ajol.info/index.php/eaafj"
NA,"2520-5285","2520-5277","East African Health Research Journal","Tanzania",TRUE,"missing",NA,"https://www.ajol.info/index.php/eahrj"
NA,"2789-360X","2789-3618","East African Journal of Biophysical and Computational Sciences","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/eajbcs"
NA,"2714-2132","2714-2183","East African Journal of Education and Social Sciences","Tanzania",TRUE,"missing",NA,"https://www.ajol.info/index.php/eajess"
"1021-8858","1021-8858",NA,"East African Journal of Peace and Human Rights","Uganda",FALSE,"missing",2008,"https://www.ajol.info/index.php/eajphr"
"0856-8960","2799-2128",NA,"East African Journal of Public Health","Tanzania",FALSE,"missing",2020,"https://www.ajol.info/index.php/eajph"
